player,games_played,avg_pts,avg_min,avg_reb,avg_ast,avg_fg_pct,avg_ft_pct,max_pts,avg_stl,avg_blk
Kevin Porter Jr.,37,17.6,33.8,5.4,7.5,0.456,0.728,32.0,2.2,0.5
Paul George,37,17.3,30.7,5.3,3.6,0.428,0.639,39.0,1.7,0.4
Miles Bridges,76,17.3,31.3,5.9,3.2,0.463,0.734,35.0,0.6,0.4
Ryan Rollins,74,17.3,32.1,4.6,5.6,0.468,0.561,36.0,1.5,0.4
Jalen Williams,33,17.1,28.4,4.6,5.5,0.487,0.789,28.0,1.2,0.3
Chet Holmgren,69,17.1,28.9,8.9,1.7,0.543,0.717,31.0,0.6,1.9
Josh Giddey,54,17.0,32.1,8.3,9.1,0.436,0.721,32.0,1.0,0.5
Payton Pritchard,79,17.0,32.3,3.9,5.2,0.438,0.487,42.0,0.7,0.1
OG Anunoby,66,16.9,33.6,5.3,2.2,0.478,0.708,34.0,1.6,0.7
Andrew Nembhard,57,16.9,31.3,2.8,7.7,0.434,0.718,32.0,0.9,0.1
Kristaps Porziņģis,32,16.7,24.0,5.2,2.5,0.431,0.75,30.0,0.6,1.2
Stephon Castle,68,16.7,30.0,5.3,7.4,0.475,0.727,40.0,1.1,0.3
Dejounte Murray,14,16.7,27.8,5.4,6.4,0.475,0.834,35.0,1.6,0.2
Aaron Gordon,35,16.6,28.6,5.9,2.7,0.468,0.721,50.0,0.6,0.3
Derrick White,77,16.5,34.1,4.4,5.4,0.4,0.655,34.0,1.1,1.3
Grayson Allen,51,16.5,28.8,3.0,3.8,0.404,0.643,42.0,1.4,0.3
Immanuel Quickley,70,16.4,31.9,4.0,5.9,0.443,0.548,40.0,1.3,0.1
Matas Buzelis,77,16.3,29.2,5.8,2.1,0.458,0.644,41.0,0.7,1.5
Jrue Holiday,53,16.3,29.4,4.6,6.1,0.447,0.574,35.0,1.0,0.1
Alex Sarr,48,16.3,27.2,7.4,2.7,0.47,0.511,31.0,0.8,2.0
VJ Edgecombe,75,16.0,35.0,5.6,4.2,0.439,0.637,38.0,1.4,0.5
Jabari Smith Jr.,77,15.8,35.1,6.9,1.9,0.457,0.637,32.0,0.7,0.9
Brice Sensabaugh,70,15.8,24.7,3.2,2.0,0.439,0.616,43.0,0.7,0.2
Domantas Sabonis,19,15.8,29.7,11.4,4.1,0.563,0.571,34.0,0.9,0.2
Collin Sexton,67,15.6,23.9,2.3,3.3,0.49,0.747,30.0,1.1,0.1
Jaime Jaquez Jr.,74,15.5,28.5,5.0,4.7,0.505,0.572,32.0,0.7,0.3
Andrew Wiggins,68,15.4,30.3,4.8,2.7,0.477,0.59,31.0,1.1,1.0
Jarrett Allen,56,15.4,27.1,8.5,1.8,0.638,0.629,40.0,1.0,0.8
Nikola Vučević,63,15.3,28.8,8.5,3.4,0.489,0.452,35.0,0.6,0.7
Onyeka Okongwu,74,15.2,31.0,7.6,3.1,0.475,0.554,32.0,1.1,1.1
Anthony Black,63,15.2,30.3,3.9,3.7,0.439,0.566,38.0,1.4,0.7
Naji Marshall,74,15.2,29.5,4.7,3.3,0.499,0.624,36.0,1.1,0.1
Russell Westbrook,64,15.2,28.9,5.4,6.7,0.421,0.534,27.0,1.3,0.2
Jaden McDaniels,72,15.1,32.0,4.3,2.8,0.514,0.584,30.0,1.1,1.0
Peyton Watson,52,15.0,30.4,5.0,2.1,0.469,0.616,35.0,0.9,1.2
Kyshawn George,48,14.8,29.0,5.1,4.5,0.436,0.581,34.0,1.0,0.9
