player,games_played,avg_pts,avg_min,avg_reb,avg_ast,avg_fg_pct,avg_ft_pct,max_pts,avg_stl,avg_blk
Isaiah Jackson,45,8.1,18.9,6.1,1.1,0.642,0.431,21.0,0.8,1.0
Jose Alvarado,64,8.0,20.9,2.6,3.6,0.409,0.215,26.0,1.0,0.1
Cole Anthony,27,8.0,18.2,3.0,4.1,0.396,0.217,23.0,0.6,0.4
Kobe Sanders,59,8.0,22.0,2.5,1.7,0.463,0.338,20.0,0.8,0.2
Ben Saraf,40,8.0,22.4,2.3,3.6,0.385,0.516,22.0,1.0,0.2
Nick Richards,29,7.9,20.0,6.8,0.3,0.509,0.531,16.0,0.2,1.0
Dominick Barlow,69,7.9,24.3,4.9,1.3,0.556,0.466,26.0,0.9,0.8
Thomas Bryant,42,7.9,15.6,4.5,0.8,0.506,0.498,15.0,0.4,0.5
A.J. Lawson,11,7.9,15.5,2.8,0.6,0.485,0.379,14.0,0.7,0.2
Bruce Brown,82,7.9,24.4,3.9,2.1,0.454,0.419,19.0,1.0,0.2
Vince Williams Jr.,37,7.9,21.5,4.0,4.4,0.343,0.39,16.0,0.8,0.4
Moussa Diabaté,73,7.9,26.0,8.7,1.9,0.628,0.465,18.0,0.8,1.0
Jett Howard,33,7.9,17.7,2.4,1.2,0.452,0.418,30.0,0.3,0.3
Tre Mann,32,7.8,17.9,2.5,2.3,0.358,0.271,20.0,0.6,0.1
Ja'Kobe Walter,69,7.8,21.1,2.7,1.2,0.412,0.345,21.0,1.0,0.2
Trendon Watford,43,7.8,19.0,3.9,2.8,0.508,0.421,20.0,0.3,0.5
Javonte Green,70,7.8,19.5,3.1,0.8,0.473,0.491,21.0,1.4,0.3
Elijah Harkless,22,7.8,24.0,2.3,3.3,0.306,0.583,23.0,1.4,0.3
Pete Nance,29,7.7,22.6,4.0,1.6,0.494,0.086,23.0,0.4,0.4
Doug McDermott,18,7.7,20.7,1.7,1.1,0.378,0.139,16.0,0.3,0.2
Jaxson Hayes,64,7.7,18.7,4.2,0.9,0.723,0.423,23.0,0.5,0.8
Tyrese Martin,37,7.6,19.7,2.9,2.0,0.376,0.207,26.0,0.6,0.2
Ryan Kalkbrenner,69,7.6,21.4,5.5,0.8,0.742,0.484,17.0,0.5,1.5
Taelon Peter,20,7.6,21.1,2.4,1.8,0.414,0.096,16.0,1.2,0.2
Gradey Dick,56,7.5,17.1,2.2,0.8,0.416,0.432,21.0,0.7,0.1
Keon Ellis,63,7.5,22.6,2.0,1.1,0.442,0.253,21.0,1.3,0.7
Jalen Wilson,42,7.5,19.1,2.6,1.2,0.378,0.441,19.0,0.5,0.0
Ryan Nembhard,50,7.5,22.0,2.6,6.0,0.376,0.205,28.0,0.5,0.0
Jevon Carter,43,7.5,19.3,2.0,2.0,0.39,0.163,15.0,0.9,0.2
Guerschon Yabusele,43,7.5,20.1,4.5,1.2,0.367,0.345,20.0,0.5,0.3
Patrick Williams,68,7.4,21.3,3.1,1.5,0.383,0.344,20.0,0.7,0.4
Andre Drummond,52,7.4,22.4,9.7,1.5,0.473,0.365,17.0,0.7,0.9
Jaylin Williams,62,7.4,20.2,5.7,2.5,0.393,0.408,30.0,0.5,0.7
Aaron Holiday,37,7.4,18.1,1.2,1.4,0.468,0.324,22.0,0.6,0.1
Caris LeVert,60,7.4,19.2,2.0,2.7,0.423,0.41,19.0,0.9,0.7
Jalen Pickett,32,7.3,22.6,3.3,3.3,0.394,0.25,29.0,0.4,0.1
Jase Richardson,23,7.3,18.6,2.3,1.9,0.422,0.399,20.0,0.4,0.1
Kris Dunn,82,7.3,27.2,3.3,3.6,0.475,0.275,19.0,1.6,0.2
Ben Sheppard,63,7.2,21.9,3.1,1.8,0.445,0.281,18.0,0.6,0.1
Rayan Rupert,44,7.2,21.6,3.9,1.5,0.361,0.223,33.0,1.2,0.2
Terance Mann,63,7.2,24.3,3.2,3.0,0.444,0.382,21.0,0.7,0.2
Kasparas Jakučionis,45,7.1,20.1,3.0,3.0,0.387,0.444,22.0,0.7,0.2
Tidjane Salaün,31,7.1,17.7,4.6,0.9,0.478,0.299,21.0,0.5,0.2
Robert Williams III,55,7.1,17.9,7.3,1.1,0.719,0.241,20.0,0.6,1.6
Kevin Love,33,7.1,17.7,6.2,1.8,0.378,0.399,20.0,0.4,0.3
Drake Powell,57,7.1,22.6,1.8,1.6,0.399,0.5,16.0,0.6,0.2
Nae'Qwan Tomlin,49,7.1,18.7,3.5,1.0,0.47,0.354,26.0,0.8,0.6
Grant Williams,36,7.0,19.8,3.9,1.6,0.411,0.455,20.0,0.5,0.5
Baylor Scheierman,59,7.0,22.4,4.3,1.9,0.45,0.162,30.0,0.7,0.1
Yanic Konan Niederhäuser,20,6.9,16.9,4.5,0.5,0.605,0.452,16.0,0.3,1.3
KJ Simpson,12,6.9,18.5,2.6,3.0,0.344,0.271,16.0,1.3,0.0
Myron Gardner,17,6.8,17.9,5.4,1.8,0.477,0.388,14.0,1.0,0.4
Will Richard,63,6.8,21.3,2.6,1.4,0.44,0.315,30.0,1.2,0.1
Alex Caruso,51,6.7,19.4,2.9,2.1,0.45,0.317,17.0,1.3,0.3
Trayce Jackson-Davis,20,6.7,17.5,5.4,1.3,0.599,0.504,11.0,0.5,1.0
Luke Kornet,65,6.7,21.6,6.2,1.9,0.603,0.489,23.0,0.5,1.0
Jordan Hawkins,34,6.7,18.2,2.2,1.1,0.361,0.25,25.0,0.4,0.3
Jamal Shead,82,6.6,22.6,1.7,5.4,0.354,0.408,22.0,0.9,0.2
Zeke Nnaji,23,6.6,20.3,4.7,1.0,0.488,0.338,21.0,0.6,0.9
Oso Ighodaro,80,6.6,22.5,5.2,2.3,0.646,0.252,17.0,0.9,0.7
Jamison Battle,20,6.6,14.5,2.5,0.7,0.611,0.117,20.0,0.2,0.1
Dalton Knecht,27,6.6,16.8,2.3,0.7,0.384,0.176,17.0,0.3,0.3
Mohamed Diawara,30,6.5,16.6,2.4,1.4,0.424,0.225,18.0,0.4,0.1
Moussa Cisse,25,6.5,18.5,7.8,0.3,0.6,0.343,17.0,0.7,1.6
Rasheer Fleming,28,6.5,18.8,3.3,0.5,0.387,0.17,16.0,0.6,0.6
Julian Phillips,15,6.4,17.9,2.0,0.5,0.481,0.267,16.0,0.9,0.2
Dru Smith,58,6.4,18.4,2.8,2.9,0.458,0.535,13.0,1.6,0.3
Drew Eubanks,27,6.4,16.6,3.7,0.6,0.573,0.247,19.0,0.5,0.9
Karlo Matković,50,6.4,16.8,4.1,0.9,0.647,0.23,16.0,0.5,1.0
Spencer Jones,54,6.4,25.3,3.8,0.9,0.459,0.201,28.0,0.9,0.5
Goga Bitadze,55,6.3,16.6,5.3,1.4,0.646,0.44,15.0,0.7,1.1
Bronny James,12,6.3,19.4,1.4,2.6,0.394,0.167,12.0,1.2,0.3
Ochai Agbaji,48,6.3,18.8,2.8,0.9,0.44,0.281,18.0,0.5,0.4
Ryan Dunn,63,6.2,20.8,4.6,1.6,0.462,0.164,20.0,0.9,0.5
Jabari Walker,40,6.2,15.8,4.1,0.7,0.387,0.383,22.0,0.5,0.3
Blake Wesley,19,6.2,16.1,1.8,2.9,0.473,0.242,12.0,0.7,0.2
Kyle Anderson,43,6.2,19.8,3.5,2.9,0.5,0.433,22.0,1.0,0.6
PJ Hall,12,6.1,16.0,5.4,0.7,0.453,0.597,13.0,0.2,0.8
Kam Jones,24,6.1,23.4,2.3,4.5,0.444,0.083,14.0,0.8,0.0
Tyler Kolek,37,6.1,16.7,2.3,3.9,0.406,0.149,20.0,0.5,0.1
Jordan Walsh,57,6.1,20.3,4.6,0.9,0.485,0.278,22.0,0.8,0.5
Carter Bryant,37,6.0,16.5,3.4,1.1,0.425,0.219,17.0,0.3,0.6
Yves Missi,61,6.0,20.9,6.2,1.4,0.555,0.323,18.0,0.3,1.6
Sidy Cissoko,62,6.0,21.9,2.5,1.7,0.386,0.327,20.0,0.8,0.4
Matisse Thybulle,26,6.0,17.3,2.2,0.9,0.41,0.346,14.0,2.2,0.6
Kris Murray,55,6.0,24.0,3.7,1.5,0.439,0.274,16.0,0.9,0.4
Dean Wade,57,5.9,23.0,4.3,1.5,0.425,0.244,14.0,0.8,0.4
Micah Peavy,40,5.9,20.4,2.6,1.3,0.35,0.141,21.0,1.0,0.2
Jericho Sims,55,5.9,23.1,6.6,1.9,0.761,0.257,17.0,0.3,0.3
Lindy Waters III,10,5.8,14.7,1.4,1.2,0.518,0.1,11.0,0.3,0.1
Khaman Maluach,18,5.8,16.5,5.7,0.2,0.572,0.278,18.0,0.2,1.2
Jeremy Sochan,22,5.8,16.8,3.6,1.5,0.488,0.341,16.0,0.5,0.2
Pat Connaughton,12,5.8,13.8,2.3,0.8,0.439,0.167,13.0,0.5,0.1
Steven Adams,32,5.8,22.8,8.6,1.5,0.521,0.476,13.0,0.7,0.6
Noah Penda,34,5.8,18.4,4.5,1.5,0.397,0.353,13.0,0.7,0.4
Johnny Furphy,31,5.8,20.3,4.8,1.3,0.488,0.218,18.0,0.6,0.2
Josh Okogie,60,5.8,20.5,3.2,1.1,0.41,0.261,16.0,1.0,0.3
Mitchell Robinson,60,5.7,19.6,8.8,0.9,0.652,0.183,21.0,0.9,1.2
Duop Reath,14,5.7,13.6,2.3,0.6,0.561,0.179,12.0,0.1,0.4
Liam McNeeley,21,5.7,14.9,3.1,0.9,0.411,0.484,13.0,0.2,0.1
Keaton Wallace,25,5.7,16.7,1.7,3.0,0.415,0.17,14.0,0.8,0.2
Jeremiah Robinson-Earl,17,5.7,19.9,5.8,0.9,0.389,0.456,12.0,0.5,0.1
Tony Bradley,20,5.6,16.6,4.5,0.9,0.507,0.454,12.0,0.2,0.3
Caleb Martin,38,5.6,19.5,3.3,1.7,0.399,0.376,18.0,0.9,0.4
Andre Jackson Jr.,14,5.6,18.4,3.1,2.0,0.441,0.348,13.0,1.0,0.2
Kelly Olynyk,16,5.5,13.9,2.9,2.0,0.387,0.488,11.0,0.7,0.2
Dylan Cardwell,43,5.5,21.0,7.7,1.4,0.578,0.213,15.0,0.7,1.6
Cam Christie,19,5.4,16.3,2.5,0.9,0.447,0.34,17.0,0.6,0.2
Jae'Sean Tate,17,5.4,14.5,3.0,0.9,0.594,0.206,13.0,0.5,0.1
Sion James,81,5.4,22.7,3.5,2.0,0.355,0.373,15.0,0.6,0.2
Adem Bona,62,5.4,18.9,4.6,0.5,0.568,0.409,16.0,0.5,1.3
Amir Coffey,23,5.3,16.4,2.1,1.0,0.459,0.21,17.0,0.3,0.1
Mouhamed Gueye,59,5.3,18.1,4.2,1.1,0.379,0.22,21.0,1.0,0.6
Dwight Powell,39,5.2,20.5,5.9,1.4,0.563,0.451,18.0,0.7,0.5
Hugo González,50,5.2,18.4,4.3,0.7,0.491,0.107,18.0,0.8,0.4
Craig Porter Jr.,56,5.1,19.8,3.9,3.6,0.433,0.205,19.0,1.0,0.7
Dalen Terry,28,5.1,16.6,2.7,2.1,0.4,0.14,11.0,0.9,0.5
John Konchar,47,5.1,22.4,4.8,2.4,0.436,0.24,19.0,1.7,0.8
Mike Conley,50,4.9,19.2,1.8,3.0,0.351,0.386,14.0,0.7,0.3
Jaylen Clark,45,4.9,16.4,2.2,0.8,0.443,0.337,12.0,0.9,0.2
Jarred Vanderbilt,57,4.9,18.8,4.9,1.4,0.47,0.215,14.0,0.9,0.3
Chaz Lanier,12,4.8,15.0,1.3,1.0,0.313,0.083,9.0,0.2,0.0
Lonzo Ball,33,4.8,21.6,4.2,4.0,0.28,0.192,15.0,1.3,0.3
Clint Capela,47,4.7,15.6,5.8,1.0,0.505,0.321,23.0,0.6,1.2
Josh Green,54,4.6,16.5,1.9,0.9,0.387,0.176,14.0,0.6,0.1
Larry Nance Jr.,23,4.6,16.1,3.3,1.2,0.409,0.101,10.0,0.9,0.3
Lachlan Olbrich,15,4.6,17.5,6.1,2.2,0.382,0.228,10.0,0.7,0.5
Gabe Vincent,50,4.6,17.2,1.1,1.4,0.347,0.18,18.0,0.5,0.0
Nicolas Batum,62,4.6,19.7,2.8,1.0,0.398,0.067,14.0,0.7,0.4
DeAndre Jordan,12,4.4,16.6,6.3,0.9,0.647,0.389,8.0,0.3,0.8
Yang Hansen,12,4.1,13.1,3.3,1.3,0.262,0.417,9.0,0.0,0.4
Ariel Hukporti,22,3.9,16.5,5.0,1.1,0.397,0.341,12.0,0.4,1.0
Jordan McLaughlin,10,3.9,13.3,1.5,2.1,0.378,0.2,7.0,1.1,0.1
Jonathan Isaac,28,3.9,13.9,3.8,0.6,0.41,0.381,9.0,0.6,0.8
Tyus Jones,49,3.7,17.8,1.4,3.0,0.309,0.071,16.0,0.7,0.1
Jonathan Mogbo,10,3.7,14.4,3.8,1.1,0.613,0.217,8.0,0.6,0.2
Kevon Looney,17,3.4,16.8,6.2,1.9,0.454,0.118,8.0,0.4,0.6
Brooks Barnhizer,13,3.4,16.8,3.0,0.9,0.276,0.173,14.0,0.6,0.2
Dorian Finney-Smith,33,3.4,17.8,2.6,1.1,0.292,0.136,9.0,0.5,0.2
Gary Harris,32,3.3,17.7,1.7,1.3,0.416,0.172,10.0,0.6,0.3
Christian Koloko,19,3.2,17.0,3.8,0.8,0.37,0.105,12.0,0.7,1.1
Maxi Kleber,24,3.1,15.3,2.8,0.9,0.424,0.24,11.0,0.5,0.5
Chris Paul,13,2.9,15.4,1.8,3.5,0.297,0.077,8.0,0.8,0.0
Isaiah Livers,15,2.7,15.1,2.8,0.7,0.282,0.278,9.0,0.7,0.5
