feature,mean_shap
plus_minus_last10,0.73944
winrate_last10,0.6784
pts_against_last10,0.51201
reb_last5,0.42559
ast_last5,0.33425
fg_pct_last5,0.28504
stl_last5,0.27829
away_winrate,0.27411
plus_minus_last5,0.20771
ast_last10,0.20537
stl_last10,0.18264
pts_last5,0.16887
is_home,0.15167
opp_pts_last5,0.11728
streak,0.11662
reb_last10,0.08904
pts_last10,0.07891
fg_pct_last10,0.0785
winrate_last5,0.07292
rest_days,0.04366
pts_against_last5,0.03514
home_winrate,0.01371
