Modelo,RMSE,MAE,R2,Tiempo_s
Baseline,8.3822,6.6133,-0.0001,0.0
Lin. Regression,6.5458,4.9909,0.3901,0.01
Random Forest,6.5648,5.0333,0.3865,12.85
XGBoost,6.5584,5.0277,0.3877,3.48
Ridge,6.5457,4.9908,0.3901,0.12
